oa11cd,x,y,lat,lon
E00041795,429310.973,561231.747,54.944882,-1.5439754
E00041715,427509.485,558588.744,54.921234,-1.5723416
E00041625,423098.228,560783.419,54.941181,-1.6409837
E00041794,429190.975,561059.207,54.943344,-1.5458661
E00041712,424358.211,556558.999,54.903155,-1.6216724
E00041622,422840.567,561104.356,54.944077,-1.6449854
E00041793,429317.408,561338.196,54.945843,-1.5438553
E00041713,424782.679,556583.143,54.903359,-1.6150583
E00041623,422612.953,561055.665,54.943648,-1.6485484
E00041792,428865.61,561569.707,54.947945,-1.5508882
E00041710,424570.204,556674.159,54.904187,-1.6183566
E00041620,422950.03,561312.307,54.945942,-1.6432518
E00041791,428416.723,561268.74,54.945266,-1.5579275
E00041711,424195.577,556615.062,54.903675,-1.6242095
E00041621,422675.659,561274.783,54.945613,-1.6475478
E00041790,429457.332,561496.444,54.947255,-1.5416536
E00041858,425349.896,561582.153,54.948252,-1.6057776
E00041908,424288.798,561730.571,54.949635,-1.6223292
E00041989,416894.739,561874.408,54.951232,-1.7377595
E00041859,425223.539,561498.295,54.947504,-1.607752
E00041909,423885.713,561934.183,54.951487,-1.6286041
E00041988,417832.793,561960.255,54.951973,-1.7231091
E00041718,428784.29,560959.513,54.942468,-1.5522136
E00041719,428934.936,560832.77,54.941319,-1.549885
E00041629,422780.655,562347.24,54.95525,-1.6458239
E00041366,426561.905,562275.307,54.954417,-1.5867923
E00041367,426183.089,562133.054,54.953161,-1.5927073
E00041364,425443.912,562250.409,54.95425,-1.6042511
E00041363,425983.378,562148.554,54.953306,-1.5958287
E00041369,426894.857,561925.261,54.951254,-1.5816254
E00041546,413593.315,563019.376,54.961621,-1.7892449
E00041547,412479.734,563603.641,54.966898,-1.8066173
E00041544,414692.548,562672.476,54.958472,-1.7720992
E00041545,413133.739,563152.685,54.962829,-1.7964227
E00041542,413478.09,563249.095,54.963691,-1.7910301
E00041543,413425.388,563142.736,54.962731,-1.7918628
E00041540,413700.832,563070.747,54.962077,-1.7875714
E00042040,429114.627,560341.59,54.936896,-1.5471249
E00041541,413272.352,563153.876,54.962834,-1.7942518
E00042041,429288.575,560253.514,54.936095,-1.5444182
E00041866,425390.448,561903.983,54.951135,-1.6051092
E00041956,420609.287,560228.417,54.936302,-1.6798744
E00041548,415000.825,562470.415,54.956648,-1.7672999
E00041867,425440.208,561739.83,54.949658,-1.604343
E00041957,419337.488,560139.785,54.935553,-1.6997329
E00041549,414335.225,562263.113,54.954807,-1.7776943
E00041864,424853.031,561312.258,54.945851,-1.6135443
E00041865,425155.194,560363.956,54.937308,-1.6089125
E00041955,419374.149,560495.169,54.938751,-1.6991315
E00041862,425053.152,561399.083,54.946623,-1.6104145
E00041952,420355.523,560249.269,54.936501,-1.6838372
E00041863,425139.7,561222.658,54.945028,-1.6090874
E00041953,420155.608,560196.66,54.936033,-1.6869624
E00041726,427112.655,560793.408,54.94107,-1.5783283
E00041676,426893.54,559853.067,54.932635,-1.5818342
E00041416,427638.785,554211.624,54.881895,-1.5707474
E00041860,425622.651,560798.784,54.941193,-1.6015852
E00041677,426895.219,559140.106,54.926228,-1.5818694
E00041417,427847.183,554657.533,54.885891,-1.567447
E00041496,416407.04,558466.629,54.920624,-1.7455563
E00041861,424781.165,561440.567,54.947005,-1.6146572
E00041951,420586.332,560473.6,54.938505,-1.680216
E00041724,428704.033,560809.84,54.941125,-1.5534773
E00041414,425578.346,562539.822,54.95684,-1.6021176
E00041495,415214.333,558409.194,54.920149,-1.7641717
E00041725,427984.714,560908.826,54.942055,-1.5647061
E00041675,427359.86,559498.063,54.92942,-1.5745956
E00041415,425238.654,562493.939,54.956444,-1.6074307
E00041722,428607.871,560244.51,54.936054,-1.5550474
E00041672,427165.29,559932.254,54.93333,-1.577582
E00041493,416549.78,558314.527,54.919253,-1.7433496
E00041723,428135.592,559743.217,54.931578,-1.5624627
E00041413,425192.538,562731.022,54.958585,-1.6081282
E00041492,415655.704,558598.315,54.921834,-1.7572814
E00041720,428115.636,560798.063,54.94106,-1.562672
E00041670,426609.272,559914.786,54.933198,-1.5862606
E00041410,425318.999,563234.07,54.963099,-1.6061165
E00041721,428864.947,560599.085,54.939229,-1.5510009
E00041671,426737.195,560043.02,54.934351,-1.5842511
E00041411,425280.137,563132.775,54.962184,-1.6067189
E00041490,415795.766,558720.853,54.922926,-1.7550905
E00041868,425329.978,561871.414,54.95085,-1.6060644
E00041958,420309.744,560016.85,54.934409,-1.6845715
E00041869,425538.288,561701.422,54.949312,-1.6028164
E00041959,420081.471,559912.832,54.933484,-1.688137
E00041728,428638.591,560376.816,54.937238,-1.5545505
E00041678,426718.763,559472.734,54.929221,-1.5846005
E00041418,427716.13,554573.931,54.885144,-1.569497
E00041499,414862.482,558704.131,54.92281,-1.7696482
E00041729,428135.092,560608.042,54.939351,-1.5623784
E00041679,427572.456,559503.497,54.929453,-1.5712714
E00041419,428038.508,554518.953,54.884632,-1.5644833
E00041498,412038.679,558545.555,54.921457,-1.8137153
E00166218,427900.751,556666.049,54.903941,-1.5664271
E00166214,429522.797,562234.919,54.953883,-1.5405633
E00166179,426803.864,562317.549,54.954781,-1.5830098
E00166200,424958.438,562885.244,54.959981,-1.611769
E00166209,425152.133,562049.161,54.952459,-1.6088124
E00166183,425096.314,562143.805,54.953306,-1.6096785
E00166213,425276.345,562339.849,54.955058,-1.6068509
E00166169,427446.139,559996.784,54.93389,-1.5731907
E00170016,427943.865,556218.468,54.899913,-1.5657999
E00166203,425877.566,563815.537,54.968291,-1.5973341
E00041967,421377.39,559158.387,54.926655,-1.6679672
E00041964,421074.043,559008.674,54.92532,-1.672706
E00041965,420324.671,558987.093,54.925162,-1.6844098
E00041962,420559.101,559986.783,54.93413,-1.680672
E00041963,420351.054,559827.26,54.932709,-1.6839294
E00041426,427604.39,554065.377,54.880585,-1.5712913
E00041516,426368.157,558956.567,54.924602,-1.5901091
E00041597,426932.111,561542.196,54.94781,-1.5810679
E00041776,425928.796,560344.141,54.937098,-1.5968496
E00041960,420738.244,559987.791,54.934131,-1.6778784
E00042016,428834.341,560125.931,54.934971,-1.5515165
E00041427,427409.885,554041.284,54.88038,-1.5743327
E00041517,426235.666,559003.605,54.925032,-1.59218
E00041596,425944.436,561757.983,54.949794,-1.5964728
E00041777,426550.644,560335.807,54.936984,-1.5871426
E00041961,419756.028,559894.786,54.933335,-1.6932103
E00042017,428832.661,559983.763,54.933695,-1.5515619
E00041514,425871.629,559186.749,54.926695,-1.597843
E00041595,426317.75,561545.326,54.94787,-1.5906688
E00041774,426281.158,560388.229,54.937475,-1.5913362
E00042014,429353.576,560417.064,54.937565,-1.543387
E00041425,427904.725,554265.551,54.882366,-1.5665963
E00041515,426373.627,559213.251,54.926912,-1.5900076
E00041594,426106.227,561501.53,54.947485,-1.5939668
E00041775,425379.524,560284.758,54.936587,-1.6054234
E00041422,427300.347,555344.546,54.892095,-1.5759086
E00041772,426496.476,560568.163,54.939081,-1.587964
E00041512,425724.802,559316.645,54.927871,-1.6001251
E00041593,426179.171,561658.612,54.948892,-1.5928129
E00042012,429303.484,560772.36,54.940758,-1.5441313
E00041423,427380.286,554358.392,54.88323,-1.5747547
E00041513,425995.161,559322.853,54.927911,-1.5958959
E00041592,425972.986,561629.444,54.948643,-1.5960472
E00041773,425881.142,560557.603,54.939014,-1.597564
E00042013,429216.306,560487.592,54.938202,-1.5455182
E00041420,427544.33,554395.656,54.883554,-1.572195
E00041770,426342.655,560666.734,54.93997,-1.5903587
E00041510,425815.572,558988.523,54.924919,-1.5987345
E00041591,427118.159,561774.817,54.949885,-1.5781424
E00042010,429729.265,561285.674,54.945343,-1.5374291
E00041421,428125.599,554311.485,54.882767,-1.5631473
E00041771,425897.55,560709.363,54.940379,-1.5973007
E00041511,426505.814,558702.488,54.922313,-1.5879949
E00041590,426371.428,561724.251,54.949475,-1.5898094
E00042011,429584.749,560668.963,54.939807,-1.539756
E00041968,420504.64,559123.339,54.926377,-1.6815916
E00041969,420818.912,559095.758,54.926112,-1.6766941
E00041836,414737.192,564041.458,54.970773,-1.7713267
E00041518,425757.36,558912.988,54.924239,-1.5996462
E00041599,422492.936,562212.072,54.95405,-1.6503315
E00041778,426142.157,560344.837,54.937087,-1.5935096
E00041837,416286.692,563890.26,54.969368,-1.7471387
E00042018,428753.355,559823.384,54.932262,-1.5528107
E00041429,427289.048,556134.851,54.899194,-1.5760056
E00041519,425965.932,558912.062,54.924228,-1.5964009
E00041598,427126.076,561553.75,54.947899,-1.5780383
E00042019,430488.178,561618.568,54.948289,-1.5255456
E00041835,416157.399,563948.445,54.969894,-1.7491505
E00041832,414181.192,563957.204,54.970034,-1.7800159
E00041833,415660.286,564019.532,54.970547,-1.7569099
E00041606,423134.997,561105.135,54.944073,-1.640396
E00041687,426761.791,560724.343,54.940469,-1.5838134
E00041830,415879.934,564166.705,54.971862,-1.7534809
E00041607,422927.596,560829.519,54.941602,-1.6436492
E00041686,427072.938,558733.353,54.922561,-1.5791458
E00041831,415183.648,564163.594,54.971856,-1.7643534
E00041604,422826.163,561469.251,54.947358,-1.6451751
E00041685,427187.832,558830.182,54.923426,-1.5773425
E00041605,422988.356,561207.068,54.944996,-1.6426669
E00041684,427621.568,559027.122,54.925173,-1.5705523
E00041602,423177.821,561655.134,54.949013,-1.6396806
E00041683,427937.67,559246.067,54.927123,-1.5656007
E00041603,422606.479,561545.572,54.948051,-1.6486037
E00041682,427574.259,559353.32,54.928105,-1.5712545
E00041681,427477.998,559148.574,54.926268,-1.5727876
E00041601,422997.864,562317.791,54.95497,-1.642438
E00041680,427781.867,559347.52,54.92804,-1.5680251
E00041838,415215.077,563906.377,54.969546,-1.7638671
E00166222,423703.527,562445.125,54.956088,-1.6314037
E00166221,423931.051,562666.795,54.958063,-1.6278252
E00166182,425627.465,562260.762,54.954331,-1.6013772
E00166195,424899.655,562619.784,54.957593,-1.6127133
E00166205,425370.074,563533.859,54.965783,-1.605278
E00041608,423006.924,562078.758,54.952822,-1.6423165
E00166172,426647.81,562863.627,54.959696,-1.5853951
E00041688,426716.82,560573.532,54.939114,-1.5845298
E00166224,423903.853,562547.47,54.956995,-1.6282723
E00166193,425090.043,563232.959,54.963092,-1.6096774
E00170030,429929.479,561943.556,54.951243,-1.5342387
E00170012,422938.092,562628.42,54.957768,-1.6433345
E00041526,426414.326,558514.108,54.920628,-1.5894318
E00041476,413952.893,558283.163,54.919053,-1.7838664
E00042026,430663.283,561281.087,54.94525,-1.5228494
E00041527,426004.194,558432.388,54.919913,-1.5958356
E00042027,430036.523,561295.978,54.945414,-1.5326357
E00041524,425577.439,558742.913,54.92272,-1.6024697
E00041474,411466.693,558302.675,54.919287,-1.8226491
E00041525,426711.289,558707.283,54.922347,-1.5847804
E00041475,411675.035,557973.976,54.916325,-1.8194017
E00042025,430166.611,561542.113,54.947626,-1.5305805
E00041522,426080.343,558674.767,54.922083,-1.5946281
E00041472,418270.404,562866.462,54.960098,-1.7162131
E00042022,429941.966,561656.722,54.948664,-1.5340812
E00041523,426801.809,558791.444,54.923097,-1.5833685
E00041473,415142.838,558660.096,54.922406,-1.7652818
E00042023,430727.665,561566.074,54.947807,-1.5218199
E00041520,425858.424,558571.509,54.921169,-1.5981009
E00041470,418393.085,563137.927,54.962529,-1.714275
E00042020,429697.711,561952.872,54.951338,-1.53786
E00042009,430128.928,561709.743,54.949129,-1.5311562
E00041825,414510.029,564087.944,54.971193,-1.7748703
E00041915,420298.629,562036.974,54.952562,-1.6846013
E00041994,417004.62,561648.502,54.949198,-1.7360554
