lat,lon
54.9783,-1.5995151
54.977078,-1.6022301
54.972879,-1.633109
54.965892,-1.637421
54.977599,-1.6021781
54.971689,-1.6086881
54.971489,-1.6053783
54.965518,-1.6509035
54.986483,-1.5722113
55.001861,-1.642678
54.986738,-1.6553139
55.052023,-1.67493
54.978521,-1.5449538
54.988905,-1.6621092
55.050657,-1.6750976
54.977309,-1.554951
54.987155,-1.6504034
54.991324,-1.5792085
54.998718,-1.6464888
54.98916,-1.5744176
54.997597,-1.6410902
55.027287,-1.6201138
54.96743,-1.6471695
55.028241,-1.6295221
54.986713,-1.6592053
55.05197,-1.6789218
55.048582,-1.640306
55.047352,-1.6374686
55.017392,-1.6592112
55.049697,-1.6372909
55.017428,-1.6690166
55.017804,-1.6618508
55.055308,-1.6737137
55.054358,-1.6711073
54.979376,-1.5881455
54.992021,-1.6680065
54.996155,-1.5703578
54.979326,-1.5918646
54.974299,-1.5776836
54.996152,-1.5620891
54.979241,-1.5854907
54.993842,-1.663537
54.995951,-1.5921805
54.994997,-1.5732149
54.980018,-1.5891389
54.99438,-1.6731137
54.995882,-1.5667344
54.979759,-1.5924852
54.993998,-1.6678652
54.996339,-1.5897538
54.992548,-1.6601406
54.996573,-1.6665153
54.978692,-1.5876682
54.97334,-1.5783185
55.00832,-1.5960109
54.976883,-1.5977481
54.971154,-1.5676096
54.992715,-1.5810851
54.981723,-1.5832933
54.980997,-1.5864102
54.984835,-1.5894023
54.981394,-1.595078
54.983034,-1.5830766
54.982329,-1.5978187
54.981716,-1.599903
54.982627,-1.5927687
54.980767,-1.5823344
54.980227,-1.5846212
54.97835,-1.6383401
54.980825,-1.685208
54.978013,-1.6371244
54.980778,-1.6877396
54.981821,-1.6245743
54.976465,-1.6916476
54.984882,-1.5926834
54.982378,-1.6302724
54.982395,-1.6212094
54.976634,-1.6387617
54.978935,-1.6874102
54.97666,-1.6207322
54.979824,-1.6943874
54.982657,-1.6811936
54.982504,-1.6548502
54.983358,-1.6709687
54.984926,-1.6759564
54.983374,-1.6637026
54.983946,-1.6693388
54.979935,-1.6583877
54.981563,-1.6686553
54.986884,-1.6896769
54.986615,-1.6792557
54.987466,-1.6816087
54.98683,-1.6861612
54.990249,-1.6806646
54.987041,-1.6740172
54.988631,-1.6873349
54.988854,-1.6765968
54.983939,-1.6834805
54.985219,-1.6682658
54.977216,-1.6320852
54.976382,-1.6295775
54.967723,-1.5605082
54.967958,-1.5632548
54.970766,-1.5595846
54.968344,-1.5582834
54.972917,-1.5603734
54.970951,-1.5635503
54.974164,-1.636128
54.975459,-1.6101669
54.98037,-1.7194296
54.98142,-1.7228911
54.981921,-1.7139656
54.981095,-1.7070027
54.98327,-1.7222533
54.981246,-1.7176891
54.981697,-1.7105922
54.980548,-1.7150691
54.979155,-1.7000641
54.979115,-1.709517
