lat,lng
54.960551,-1.6020028
54.895586,-1.5771817
54.92992,-1.5661947
54.895794,-1.5672007
54.931832,-1.565628
54.896649,-1.5806009
54.929662,-1.5592689
54.898678,-1.5798937
54.933461,-1.556387
54.897237,-1.5815615
54.932361,-1.5601133
54.939143,-1.6941963
54.937709,-1.6886819
54.95339,-1.5481887
54.943086,-1.6289312
54.889593,-1.5622316
54.942018,-1.5719183
54.954617,-1.5494085
54.891673,-1.5657793
54.943681,-1.5593498
54.950669,-1.6286116
54.945688,-1.6276896
54.947475,-1.636166
54.955575,-1.5414809
54.950525,-1.6253186
54.949657,-1.6476217
54.902187,-1.5837246
54.955487,-1.5513819
54.948532,-1.6534706
54.904689,-1.5824044
54.957257,-1.5393224
54.947879,-1.6211279
54.950516,-1.6403853
54.904402,-1.5798342
54.948759,-1.6448349
54.903693,-1.5749447
54.951431,-1.6428129
54.903523,-1.5778783
54.952627,-1.6524205
54.9063,-1.5725311
54.949842,-1.6496342
54.923519,-1.5729259
54.942258,-1.6373058
54.953691,-1.5469986
54.945766,-1.6178382
54.899379,-1.5645893
54.954631,-1.6888791
54.962259,-1.5993154
54.959533,-1.5876612
54.955279,-1.6169048
54.947618,-1.6420036
54.901818,-1.5810462
54.953498,-1.6079747
54.946781,-1.6474751
54.901966,-1.5745418
54.963937,-1.6096692
54.95821,-1.5923127
54.924647,-1.5846007
54.965152,-1.6076426
54.929379,-1.7842948
54.960469,-1.7248623
54.939371,-1.5432105
54.966176,-1.7881433
54.961016,-1.7168938
54.940433,-1.5342856
54.930613,-1.5898139
54.957888,-1.7322975
54.942073,-1.5306607
54.929791,-1.5912268
54.962216,-1.7188376
54.941277,-1.5363675
54.919514,-1.5866973
54.88743,-1.5653728
54.94343,-1.533205
54.917773,-1.5876356
54.957942,-1.7048755
54.943354,-1.5274925
54.920118,-1.5927133
54.888853,-1.5664488
54.943625,-1.5419603
54.918431,-1.5854292
54.887294,-1.5625372
54.943615,-1.5368714
54.948236,-1.6006725
54.953281,-1.6215924
54.952284,-1.7257457
54.965524,-1.7857727
54.961168,-1.7125824
54.948315,-1.6030916
54.954223,-1.6270799
54.951383,-1.720537
54.937689,-1.5404357
54.964235,-1.7882316
54.95949,-1.7212303
54.949954,-1.6123808
54.955748,-1.6260196
54.954236,-1.7224534
54.937729,-1.5487076
54.952183,-1.6240541
54.952628,-1.7310677
54.951285,-1.6071375
54.955169,-1.6219182
54.951338,-1.7168213
54.950406,-1.6104092
54.957014,-1.622791
54.953276,-1.7352324
54.920953,-1.5742012
54.942749,-1.6454342
54.942957,-1.5481339
54.952613,-1.6010819
54.942333,-1.7579542
54.944235,-1.5787947
54.942838,-1.641968
54.945406,-1.5518844
54.951038,-1.6084202
54.958864,-1.6197129
54.953908,-1.720457
54.921207,-1.5696428
54.944882,-1.5439754
54.921234,-1.5723416
54.941181,-1.6409837
54.943344,-1.5458661
54.903155,-1.6216724
54.944077,-1.6449854
54.945843,-1.5438553
54.903359,-1.6150583
54.943648,-1.6485484
54.947945,-1.5508882
54.904187,-1.6183566
54.945942,-1.6432518
54.945266,-1.5579275
54.903675,-1.6242095
54.945613,-1.6475478
54.947255,-1.5416536
54.948252,-1.6057776
54.949635,-1.6223292
54.951232,-1.7377595
54.947504,-1.607752
54.951487,-1.6286041
54.951973,-1.7231091
54.942468,-1.5522136
54.941319,-1.549885
54.95525,-1.6458239
54.954417,-1.5867923
54.953161,-1.5927073
54.95425,-1.6042511
54.953306,-1.5958287
54.951254,-1.5816254
54.961621,-1.7892449
54.966898,-1.8066173
54.958472,-1.7720992
